BusNo,Routes,TD,TT
47,Gandhipuram Town Bus Stand|Park Gate|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Ukkadam|Karumbukadai|Athupalam|Kurichi Pirivu|Kurichi Pirivu Housing Unit|Iyer Hospital|Sundarapuram|Gandhi Nagar|L.I.C. Colony|Sidco|K.P.M. Matriculation School|Rathinam College|Eachanari|Karpagam University|Ganesh Nagar|Malumichampatti Junction|Malumichampatti|Seeralapalayam,0 2 3 1 1 0 0 1 1 3 2 4 1 2 4 2 1 1 3 1 3 2 2 3 4 3 9,5:00AM 8:00AM 9:00AM 10:00AM 11:00AM 2:00PM 5:00PM 6:00PM 7:00PM
47,Seeralapalayam|Malumichampatti Junction|Ganesh Nagar|Karpagam University|Eachanari|Rathinam College|K.P.M. Matriculation School|Sidco|L.I.C. Colony|Gandhi Nagar|Sundarapuram|Iyer Hospital|Kurichi Pirivu Housing Unit|Kurichi Pirivu|Athupalam|Karumbukadai|Ukkadam|Prakasam|Raja Street|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|C.S.I. School|V.O.C. Park|Park Gate|Gandhipuram Town,0 9 3 3 4 3 1 4 1 2 2 1 1 5 1 1 5 1 1 1 2 1 1 0 0 1 1 2 3,5:00AM 8:00AM 9:00AM 10:00AM 11:00AM 2:00PM 5:00PM 6:00PM 7:00PM
45,Ukkadam|Prakasam|Raja Street|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|C.S.I. School|V.O.C. Park|Park Gate|Gandhipuram Town|G.P. Hospital|Lakshmipuram|Tex Tool / Velan Theatre|Ganapathy|Surya Hospital|C.M.S. School|Athipalayam Junction|Bharathi Nagar|Ramakrishna Mill|L.G.B. Nagar|Sivanandha Mills|Anandha Kumar Mills|S.R.P. Mills|Amman Kovil|G.K.S. Nagar|Kalapatti Pirivu|Saravanampatti|Viswasapuram|Karattumedu|P.P.G. It|S.N.S. College / Valiyampalayam Pirivu|S.N.S. College|Sri Village Nagar|Kurumbapalayam|Kodia Park|Info Institute of Engineering|Kovilpalayam|S.S. Kulam|V.J. Nagar|Kottaipalayam|C.S.I. Colony|Agrahara Samakulam|Thottipalayam|Vellamadai,0 1 1 1 2 1 0 0 1 0 1 3 3 2 2 2 2 1 1 3 1 2 1 1 1 1 3 1 2 1 4 2 3 1 3 1 2 2 5 2 2 2 2 1 3 4 4,6:25AM 8:25AM 8:55AM 9:25AM 9:55AM 10:25AM 10:55AM 11:25AM 1:25PM 3:25PM 5:10PM
45,Vellamadai|Thottipalayam|Agrahara Samakulam|Kottaipalayam|V.J. Nagar|S.S. Kulam|Kovilpalayam|Info Institute of Engineering|Kodia Park|Kurumbapalayam|Sri Village Nagar|S.N.S. College|S.N.S. College / Valiyampalayam Pirivu|P.P.G. It|Karattumedu|Viswasapuram|Saravanampatti|Kalapatti Pirivu|G.K.S. Nagar|Amman Kovil|S.R.P. Mills|Anandha Kumar Mills|Sivanandha Mills|L.G.B. Nagar|Ramakrishna Mill|Bharathi Nagar|Athipalayam Junction|C.M.S. School|Surya Hospital|Ganapathy|Tex Tool / Velan Theatre|Lakshmipuram|G.P. Hospital|Park Gate|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Government Hospital|Town Hall|Ukkadam,0 3 4 3 1 2 2 2 2 5 2 2 2 1 2 3 2 4 1 2 1 2 2 1 1 1 2 2 2 1 1 2 2 2 2 3 3 1 0 1 0 1 1 3 1,6:25AM 8:25AM 8:55AM 9:25AM 9:55AM 10:25AM 10:55AM 11:25AM 1:25PM 3:25PM 5:10PM
41C,Ukkadam|Prakasam|Raja Street|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|C.S.I. School|V.O.C. Park|Anna Statue|K.P.R. Mill|GKNM Hospital|Lakshmi Mills|Nava India|Suguna Kalyana Mandapam Bus stop|P.S.G. Tech / Peelamedu|Krishnamal College|Fun Mall|Varatharaja Mills|Hope College|C.I.T.|Codissia|Arvind Eye Hospital|SITRA Airport|KMCH Hospital|Goldwins|Thottipalayam Pirivu Bus Stop|PLS Nagar|Rangaswamy Goundan Pudur|Chinniyampalayam|Le Meridien|Neelambur|Sulur Pirivu|Thennampalayam|K.P.R. Institute / LPT|Kollupalayam|Kaniyur Check Post|Kaniyur|Prema Hospital|Karumathampatti,0 1 1 1 2 1 0 1 0 0 1 1 3 1 2 3 1 2 3 1 2 1 2 3 1 2 2 3 1 2 2 2 4 4 9 6 4 3 3 4 7 2,6:35AM 7:35AM 8:35AM 9:05AM 9:35AM 10:05AM 10:35AM 11:05AM 12:05PM 1:05PM 2:05PM 3:05PM 4:05PM 5:05PM 5:20PM
41C,Karumathampatti|Prema Hospital|Kaniyur|Kaniyur Check Post|Kollupalayam|K.P.R. Institute / LPT|Thennampalayam|Sulur Pirivu|Neelambur|Le Meridien|Chinniyampalayam|Rangaswamy Goundan Pudur|PLS Nagar|Thottipalayam Pirivu|Goldwins|KMCH Hospital|SITRA Airport|Arvind Eye Hospital|Codissia|C.I.T.|Hope College|Varatharaja Mills|Fun Mall|Krishnamal College|P.S.G. Tech / Peelamedu|Suguna Kalyana Mandapam|Nava India|Lakshmi Mills|GKNM Hospital|Anna Statue|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Ukkadam,0 1 7 4 2 4 3 7 9 4 4 2 2 2 1 3 2 1 2 2 3 1 2 1 3 1 2 4 1 4 1 1 0 1 0 1 2 2,6:35AM 7:35AM 8:35AM 9:05AM 9:35AM 10:05AM 10:35AM 11:05AM 12:05PM 1:05PM 2:05PM 3:05PM 4:05PM 5:05PM 5:20PM
39,Ukkadam|Prakasam|Raja Street|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|C.S.I. School|V.O.C. Park|Anna Statue|K.P.R. Mill|GKNM Hospital|Lakshmi Mills|Nava India|Suguna Kalyana Mandapam Bus stop|P.S.G. Tech / Peelamedu|Krishnamal College|Fun Mall|Varatharaja Mills|Hope College|C.I.T.|Codissia|Arvind Eye Hospital|SITRA Airport|KMCH Hospital|Goldwins|Thottipalayam Pirivu Bus Stop|PLS Nagar|Rangaswamy Goundan Pudur|Chinniyampalayam,0 1 1 1 2 1 0 1 0 0 1 1 3 1 2 3 1 2 3 1 2 1 2 3 1 2 2 3 1 2 2 2,6:20AM 8:20AM 8:50AM 9:20AM 9:50AM 10:20AM 10:50AM 11:20AM 1:20PM 3:20PM 5:20PM 5:50PM 6:10PM
39,Chinniyampalayam|Rangaswamy Goundan Pudur|PLS Nagar|Thottipalayam Pirivu|Goldwins|KMCH Hospital|SITRA Airport|Arvind Eye Hospital|Codissia|C.I.T.|Hope College|Varatharaja Mills|Fun Mall|Krishnamal College|P.S.G. Tech / Peelamedu|Suguna Kalyana Mandapam|Nava India|Lakshmi Mills|GKNM Hospital|Anna Statue|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Ukkadam,0 2 1 2 2 3 2 1 2 2 3 1 2 1 2 2 2 3 2 3 1 1 1 0 1 1 2 2,6:20AM 8:20AM 8:50AM 9:20AM 9:50AM 10:20AM 10:50AM 11:20AM 1:20PM 3:20PM 5:20PM 5:50PM 6:10PM
38A,L.I.C. Colony|Muthusawamy Colony|Selvapuram|High School|Chetty Street|Big Bazar Street|Raja Street|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|C.S.I. School|V.O.C. Park|Park Gate|Gandhipuram Town|G.P. Hospital|Kalyan Sarees|Karpagam Complex|Vasanth & Company|Power House|Sivananda Colony|Puthu Palam|Ooty New|Eru Company|Housing Unit|Kavundampalayam|Cheran Nagar|I.T.I.|G.N. Mills|Vellakinar Pirivu|Venugopal Hospital|Viswanathapuram|Thudiyalur,0 1 1 1 2 3 1 1 2 1 1 0 0 1 1 3 2 2 1 1 0 1 2 2 2 1 2 2 3 1 2 2 2 1 2,5:30AM 7:30AM 9:30AM 10:00AM 10:30AM 11:00AM 1:00PM 3:00PM 5:00PM 5:30PM 6:00PM 6:30PM
38A,Thudiyalur|Viswanathapuram|Venugopal Hospital|Vellakinar Pirivu|G.N. Mills|I.T.I.|Cheran Nagar|Kavundampalayam|Housing Unit|Eru Company|Ooty New|Puthu Palam|Bus Stand Number 5|Sivananda Colony|Power House|Vasanth & Company|Karpagam Complex|Kalyan Sarees|G.P. Hospital|Gandhipuram Town|Park Gate|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Government Hospital|Town Hall|Mahalakshmi Bakery|Chetty Street|High School|Selvapuram|Muthusawamy Colony|L.I.C. Colony,0 1 2 2 2 2 1 3 1 3 1 2 2 0 2 1 0 2 1 1 3 3 1 0 1 0 1 1 3 3 1 3 1 1 1,5:30AM 7:30AM 9:30AM 10:00AM 10:30AM 11:00AM 1:00PM 3:00PM 5:00PM 5:30PM 6:00PM 6:30PM
35,Avarampalayam Bus Stand|Ramakrishna Hospital|Jaganatha Perumal Thiru Kovil|Womens Polytechnic|R.T.O.|Stanes Higher Secondary School|Anna Statue|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Government Hospital|Town Hall|Mahalakshmi Bakery|Chetty Street|High School|Selvapuram|Muthusawamy Colony|L.I.C. Colony|Telungupalayam Hospital|Telungupalayam Pirivu|Tamil College|Perur|Perur Chettipalayam|Pachapalayam Junction|Kalampalayam|Thuruthipallam|Chellappa Goundan Puthur|Madampatti|Karadimadai,0 3 1 2 2 2 0 1 1 0 1 0 1 1 3 3 1 3 1 1 1 3 1 3 2 2 4 3 4 4 4 14,6:25AM 9:25AM 10:25AM 11:25AM 2:25PM 5:25PM 6:25PM 7:15PM
35,Madampatti|Chellappa Goundan Puthur|Kalampalayam|Pachapalayam Junction|Perur Chettipalayam|Perur|Tamil College|Telungupalayam Pirivu Bus Stop|Telungupalayam Hospital|L.I.C. Colony|Muthusawamy Colony|Selvapuram|High School|Chetty Street|Big Bazar Street|Raja Street|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|C.S.I. School|V.O.C. Park|Park Gate|Gandhipuram Town|Womens Polytechnic|Jaganatha Perumal Thiru Kovil|Ramakrishna Hospital|Avarampalayam Bus Stand,0 13 5 7 3 5 2 1 4 1 2 2 0 1 3 3 1 1 2 1 1 0 0 1 1 2 3 3 1 2 3,6:25AM 9:25AM 10:25AM 11:25AM 2:25PM 5:25PM 6:25PM 7:15PM
34,Ramanathapuram|Olympus|Chinthamani|Sungam|Air India|Rainbow|Saint Francis Anglo Indian Girls High School|Government Hospital|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|R.S. Puram Boys Higher Secondary School|Government College of Technology (GCT)|Velandipalayam|Kovil Medu|Shivaji Colony|Edayarpalayam|T.V.S. Nagar|Luna|K.N.G. Pudur Pirivu|Autoprint|Keartiman Matriculation Higher Secondary School|Kanuvai|A.B.C. Agro and Food Machine Factory|Nayakar Thottam|Gundu Perumal Temple|Thiruvalluvar Nagar|Somayanur|Kalayanur|Thanneer Pandal|Rangaswamy Gowder Garden|Chinna Thadagam Government Boys School|Chinna Thadagam,0 1 2 1 1 2 1 1 1 1 1 0 0 8 7 4 2 1 1 2 2 2 2 2 2 3 2 1 1 3 1 3 2 1 0,4:20AM 5:20AM 6:20AM 7:20AM 8:20AM 8:50AM 9:20AM 9:50AM 10:20AM 10:50AM 11:20AM 12:20PM 1:20PM 2:20PM 3:20PM 4:00PM
34,Chinna Thadagam|Rangaswamy Gowder Garden|Thanneer Pandal|Kalayanur|Somayanur|Thiruvalluvar Nagar|Gundu Perumal Temple|Nayakar Thottam|A.B.C. Agro and Food Machine Factory|Kanuvai|Keartiman Matriculation Higher Secondary School|Autoprint|K.N.G. Pudur Pirivu|Luna|T.V.S. Nagar|Edayarpalayam|Shivaji Colony|Kovil Medu|Velandipalayam|Government College of Technology (GCT)|R.S. Puram Boys Higher Secondary School|K.C.T.|Poomarket|Brookefields Mall / Devanga High School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Government Hospital|Saint Francis Anglo Indian Girls High School|Rainbow|Air India|Sungam|Chinthamani|Olympus|Ramanathapuram,0 1 2 2 2 2 2 1 2 3 2 1 3 2 2 2 1 1 2 4 6 3 3 0 5 0 1 1 1 1 1 1 2 1 2 1,4:20AM 5:20AM 6:20AM 7:20AM 8:20AM 8:50AM 9:20AM 9:50AM 10:20AM 10:50AM 11:20AM 12:20PM 1:20PM 2:20PM 3:20PM 4:00PM
33E,Railway Station|Town Hall|Ukkadam|Karumbukadai|Athupalam|Kurichi Pirivu|Kurichi Pirivu Housing Unit|Iyer Hospital|Sundarapuram|Gandhi Nagar|L.I.C. Colony|Sidco|K.P.M. Matriculation School|Rathinam College|Eachanari|Karpagam University|Ganesh Nagar|Malumichampatti Junction|Malumicham Patti Panchayat Union School|Sidco Malumichampatti|Coimbatore Golf Club|Chettipalayam Bus Stand,0 2 2 4 1 2 4 2 1 1 2 2 3 1 3 3 4 2 2 4 4 5,4:50AM 7:50AM 10:50AM 11:50AM 2:50PM 4:50PM
33E,Gandhipuram Town Bus Stand|Park Gate|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Ukkadam|Karumbukadai|Athupalam|Kurichi Pirivu|Kurichi Pirivu Housing Unit|Iyer Hospital|Sundarapuram|Gandhi Nagar|L.I.C. Colony|Sidco|K.P.M. Matriculation School|Rathinam College|Eachanari|Karpagam University|Ganesh Nagar|Malumichampatti Junction|Malumichampatti|Hindustan College|Othakal Mandapam|Karpagam Medical College & Hospital|Premier Mills|Polytechnic College|Mailrapalayam|Kinathukadavu Check Post|Arulmigu Velayutha Swamy Temple|Kinathukadavu,0 2 3 1 1 0 0 1 3 2 4 1 1 5 1 2 1 2 2 3 1 3 3 4 2 1 2 4 2 1 5 12 2 2 3,4:50AM 7:50AM 10:50AM 11:50AM 2:50PM 5:50PM 6:35PM
33A,Gandhipuram Town Bus Stand|Park Gate|Christ The King Church|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Ukkadam|Karumbukadai|Athupalam|Kurichi Pirivu|Kurichi Pirivu Housing Unit|Iyer Hospital|Sundarapuram|Gandhi Nagar|L.I.C. Colony|Sidco|K.P.M. Matriculation School|Rathinam College|Eachanari|Karpagam University|Ganesh Nagar|Malumichampatti Junction|Malumichampatti|Hindustan College|Othakal Mandapam|Karpagam Medical College & Hospital|Premier Mills|Polytechnic College|Mailrapalayam|Kinathukadavu Check Post|Arulmigu Velayutha Swamy Temple|Kinathukadavu,0 2 2 1 1 0 1 3 1 5 1 1 5 1 1 2 2 2 3 1 3 3 3 3 0 3 4 1 2 5 12 2 2 3,6:00AM 8:00AM 8:30AM 9:00AM 9:30AM 10:00AM 10:30AM 11:00AM 1:00PM 3:00PM 5:00PM 5:30PM 6:00PM
33A,Kinathukadavu|Fire Station|Arulmigu Velayutha Swamy Temple|Kinathukadavu Check Post|Mailrapalayam|Polytechnic College|Premier Mills|Karpagam Medical College & Hospital|Othakal Mandapam|Hindustan College|Malumichampatti|Malumichampatti Junction|Ganesh Nagar|Karpagam University|Eachanari|Rathinam College|K.P.M. Matriculation School|Sidco|L.I.C. Colony|Gandhi Nagar|Sundarapuram|Iyer Hospital|Kurichi Pirivu Housing Unit|Kurichi Pirivu|Athupalam|Karumbukadai|Ukkadam|Prakasam|Raja Street|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|Christ The King Church|Park Gate|Gandhipuram Town|Gandhipuram Town Bus Stand,0 0 2 2 2 12 5 2 1 4 3 0 3 3 3 3 1 3 2 2 2 1 1 4 1 1 6 1 1 2 1 0 1 0 2 1 3 0,6:00AM 8:00AM 8:30AM 9:00AM 9:30AM 10:00AM 10:30AM 11:00AM 1:00PM 3:00PM 5:00PM 5:30PM 6:00PM
31,Nehru Nagar|SITRA Airport|Arvind Eye Hospital|Codissia|C.I.T.|Hope College|Varatharaja Mills|Fun Mall|Krishnamal College|P.S.G. Tech / Peelamedu|Suguna Kalyana Mandapam|Nava India|Lakshmi Mills|GKNM Hospital|Anna Statue|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Ukkadam|Karumbukadai|Athupalam|Kurichi Pirivu|Kurichi Pirivu Housing Unit|Iyer Hospital|Madukkarai Market,0 4 1 2 2 3 1 2 1 2 2 2 3 2 3 1 1 1 0 1 1 2 2 4 1 2 4 2 20,5:40AM 8:40AM 9:40AM 10:40AM 11:40AM 2:40PM 5:40PM 6:40PM 7:40PM 8:10PM
31,Madukkarai Market|Sundarapuram|Iyer Hospital|Kurichi Pirivu Housing Unit|Kurichi Pirivu|Athupalam|Karumbukadai|Ukkadam|Prakasam|Raja Street|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|C.S.I. School|V.O.C. Park|Anna Statue|K.P.R. Mill|GKNM Hospital|Lakshmi Mills|Nava India|Suguna Kalyana Mandapam Bus stop|P.S.G. Tech / Peelamedu|Krishnamal College|Fun Mall|Varatharaja Mills|Hope College|C.I.T.|Codissia|Arvind Eye Hospital|SITRA Airport|Nehru Nagar,0 19 0 1 5 1 1 5 1 1 1 2 1 1 0 0 1 1 1 3 0 2 3 2 2 2 2 1 1 2 3 2 1 4,5:40AM 8:40AM 9:40AM 10:40AM 11:40AM 2:40PM 5:40PM 6:40PM 7:40PM 8:10PM
30F,Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|D.S.P. Office Junction|Anna Statue|K.P.R. Mill|GKNM Hospital|Lakshmi Mills|Nava India|Suguna Kalyana Mandapam Bus stop|P.S.G. Tech / Peelamedu|Krishnamal College|Fun Mall|Varatharaja Mills|Hope College|C.I.T.|Codissia|Arvind Eye Hospital|SITRA Airport|KMCH Hospital|Goldwins|Thottipalayam Pirivu Bus Stop|PLS Nagar|Rangaswamy Goundan Pudur|Chinniyampalayam|Le Meridien|Neelambur|Sulur Pirivu|Thennampalayam|K.P.R. Institute / LPT|Kollupalayam|Kaniyur Check Post|Kaniyur|Prema Hospital|Karumathampatti|Krishnapuram|Sangeetha Theatre|Power House|Somanur Bus Stand,0 2 0 1 1 2 3 0 2 3 2 2 2 2 1 1 3 2 2 1 2 3 2 2 1 2 4 4 9 6 4 4 2 3 7 2 5 2 1 1,6:40AM 9:40AM 10:40AM 11:40AM 2:40PM 5:40PM 6:10PM
30F,Somanur Bus Stand|Power House|Sangeetha Theatre|Krishnapuram|Karumathampatti|Prema Hospital|Kaniyur|Kaniyur Check Post|Kollupalayam|K.P.R. Institute / LPT|Thennampalayam|Sulur Pirivu|Neelambur|Le Meridien|Chinniyampalayam|Rangaswamy Goundan Pudur|PLS Nagar|Thottipalayam Pirivu|Goldwins|KMCH Hospital|SITRA Airport|Arvind Eye Hospital|Codissia|C.I.T.|Hope College|Varatharaja Mills|Fun Mall|Krishnamal College|P.S.G. Tech / Peelamedu|Suguna Kalyana Mandapam|Nava India|Lakshmi Mills|GKNM Hospital|K.G. Hospital|D.S.P. Office Junction|D.S.P. Office|Collector Office|Railway Station|Government Hospital|Town Hall|Prakasam|Raja Street|Manikoondu / Town Hall,0 1 1 2 5 2 7 3 2 4 4 6 10 4 3 3 1 2 2 3 1 2 2 2 2 2 1 1 3 2 2 3 1 6 0 1 0 1 1 3 1 1 1,6:40AM 9:40AM 10:40AM 11:40AM 2:40PM 5:40PM 6:10PM
27A,Ukkadam|Prakasam|Raja Street|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|C.S.I. School|V.O.C. Park|Park Gate|Gandhipuram Town|G.P. Hospital|Kalyan Sarees|Karpagam Complex|Vasanth & Company|Power House|Sivananda Colony|Puthu Palam|Ooty New|Eru Company|Housing Unit|Kavundampalayam|Cheran Nagar|I.T.I.|G.N. Mills|Vellakinar Pirivu|Venugopal Hospital|Viswanathapuram|Thudiyalur|Ulavar Sandhai|Vadamadurai|Teachers Colony|Ganapathy Colony|Vattamalaipalayam|Sengalipalayam|Cardwell Industry|Maniakarampalayam|Government High School Idigarai|Indian Overseas Bank,0 1 1 1 2 1 0 1 0 0 1 3 3 2 1 1 1 1 1 2 2 1 3 2 2 2 1 2 2 2 2 0 2 5 1 1 1 3 2 3 2,4:25AM 6:25AM 8:25AM 8:55AM 9:25AM 9:55AM 10:25AM 10:55AM 11:25AM 1:25PM 3:25PM 5:25PM 5:45PM
27A,Indian Overseas Bank|Government High School Idigarai|Maniakarampalayam|Cardwell Industry|Sengalipalayam|Vattamalaipalayam|Ganapathy Colony|Teachers Colony|Vadamadurai|Ulavar Sandhai|Thudiyalur|Viswanathapuram|Viswanathapuram|Venugopal Hospital|Vellakinar Pirivu|G.N. Mills|I.T.I.|Cheran Nagar|Kavundampalayam|Housing Unit|Eru Company|Ooty New|Puthu Palam|Bus Stand Number 5|Sivananda Colony|Power House|Vasanth & Company|Karpagam Complex|Kalyan Sarees|G.P. Hospital|Gandhipuram Town|Park Gate|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Government Hospital|Town Hall|Ukkadam,0 2 3 2 3 1 1 1 5 2 0 2 2 2 2 1 2 2 2 2 2 2 1 1 1 1 1 1 1 2 3 2 2 0 1 0 1 1 3 1,4:25AM 6:25AM 8:25AM 8:55AM 9:25AM 9:55AM 10:25AM 10:55AM 11:25AM 1:25PM 3:25PM 5:25PM 5:45PM
24A,Ukkadam Bus Stand|Ukkadam|Prakasam|Raja Street|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|C.S.I. School|V.O.C. Park|Park Gate|Gandhipuram Town|G.P. Hospital|Lakshmipuram|Tex Tool / Velan Theatre|Ganapathy|Surya Hospital|C.M.S. School|Athipalayam Junction|Bharathi Nagar|Ramakrishna Mill|L.G.B. Nagar|Sivanandha Mills|Anandha Kumar Mills|S.R.P. Mills|Amman Kovil|G.K.S. Nagar|R.K.K Nagar|Government School|Kalapatti Mariamman Temple|Mylampatti|Andakkapalayam|Sri Krishna Nagar|Vellanaipatti Bus Stand|Serayampalayam,0 0 1 1 1 2 1 1 0 0 1 1 2 3 2 2 3 1 2 1 2 1 2 1 2 0 2 2 2 6 5 2 8 2 3 3 6,4:50AM 7:50AM 10:50AM 11:50AM 2:50PM 5:50PM 6:10PM
24A,Serayampalayam|Vellanaipatti Bus Stand|Sri Krishna Nagar|Andakkapalayam|Mylampatti|Kalapatti Mariamman Temple|Government School|R.K.K Nagar|G.K.S. Nagar|Amman Kovil|S.R.P. Mills|Anandha Kumar Mills|Sivanandha Mills|L.G.B. Nagar|Ramakrishna Mill|Bharathi Nagar|Athipalayam Junction|C.M.S. School|Surya Hospital|Ganapathy|Tex Tool / Velan Theatre|Lakshmipuram|G.P. Hospital|Gandhipuram Town|Park Gate|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Government Hospital|Town Hall|Ukkadam|Ukkadam Bus Stand,0 6 3 2 3 7 2 5 7 1 2 2 1 1 1 2 1 2 2 1 2 2 2 2 3 2 1 1 0 1 1 1 3 1 0,4:50AM 7:50AM 10:50AM 11:50AM 2:50PM 5:50PM 6:10PM
18,Gandhipuram Town Bus Stand|Park Gate|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Ukkadam|Karumbukadai|Athupalam|Kurichi Pirivu|Kurichi Pirivu Housing Unit|Iyer Hospital|Sundarapuram|Gandhi Nagar|L.I.C. Colony|Sidco|Rathinam College|Eachanari|Karpagam University|Ganesh Nagar|Malumichampatti Junction|Malumichampatti|Hindustan College|Othakal Mandapam|Karpagam Medical College & Hospital|Premier Mills|CKIT Institute|Polytechnic College|Vivek Vidyalaya Matric Higher Secondary School|V.S.B. College of Engineering|Mailrapalayam|Arasampalayam,0 2 3 1 1 0 0 1 3 2 4 1 1 5 1 2 1 2 2 4 3 3 4 2 1 2 4 2 1 3 2 8 1 3 10,4:40AM 7:40AM 10:40AM 11:40AM 2:40PM 5:40PM 6:40PM 7:10PM
18,Arasampalayam|Mailrapalayam|V.S.B. College of Engineering|Vivek Vidyalaya Matric Higher Secondary School|Polytechnic College|CKIT Institute|Premier Mills|Karpagam Medical College & Hospital|Othakal Mandapam|Hindustan College|Malumichampatti|Malumichampatti Junction|Ganesh Nagar|Karpagam University|Eachanari|Rathinam College|K.P.M. Matriculation School|Sidco|L.I.C. Colony|Gandhi Nagar|Sundarapuram|Iyer Hospital|Kurichi Pirivu Housing Unit|Kurichi Pirivu|Athupalam|Karumbukadai|Ukkadam|Prakasam|Raja Street|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|C.S.I. School|V.O.C. Park|Park Gate|Gandhipuram Town,0 10 3 1 7 2 3 2 2 3 3 0 3 3 4 2 1 4 1 3 2 0 2 4 1 1 5 1 1 1 2 1 1 0 0 1 1 3 3,4:40AM 7:40AM 10:40AM 11:40AM 2:40PM 5:40PM 6:40PM 7:10PM
17,Lakshmi Mills|GKNM Hospital|Anna Statue|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Ukkadam|Karumbukadai|Athupalam|Kuniyamuthur High School|Kuniyamuthur|Nehru College|Edayarpalayam Pirivu|Kuniyamuthur Police Station|B.K. Pudur|Kovaipudur Pirivu|Milekal|Gandhi Nagar|Madukkarai Police Station|Madukkarai Union Office|Marappalam|Chettipalayam Pirivu|Indian Bank|Thirumalayampalayam Pirivu|K.G. Chavadi|Vanthavalam,0 1 4 0 2 0 0 1 1 2 2 5 1 3 1 3 1 2 2 2 2 6 2 1 4 2 2 4 9 26,5:30 AM 6:30 AM 7:30AM 8:30AM 9:00AM 9:30AM 10:00AM 10:30AM 11:00AM 12:00PM 1:00PM 2:00PM 3:00PM 4:00PM 5:00PM 5:30PM 6:00PM 6:30PM 7:00PM 7:30PM 8:00PM 9:00PM 9:50PM
